account_id,account_name,tenant_id,health_score,health_segment,revenue,neediness_score,segment,account_level,industry,tad_score,tech_count,neediness_category
001Pg000002RtwgIAC,eliterenewableenergyservicesllc,2354236968,3,Red,100000,8,Residential,Corporate,Roofing,0,5,High
0011a00000mbyREAAY,stahlplumbinganddraininc,899484963,74,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00001JsYR7IAN,windowgang8676,4515032085,87,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg000018tGmzIAE,asvgerlingermatthew,4367372722,76,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000VUIhLIAX,acehandyman_eastorlando,3974612681,78,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000VUkr4AAD,galaxyheatingairconditioninginc,867263147,40,Red,100000,8,Residential,Corporate,Roofing,0,5,High
0011a00000anbRYAAY,revivalenergyllc,593223639,40,Red,100000,8,Residential,Corporate,Roofing,0,5,High
001Pg000018thQbIAI,mrrcalestyler,4366548643,60,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00001BTiYHIA1,mregreenidgestephan,4398731689,69,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00001Og3pdIAB,housedoctors4120,4564433304,74,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000YF5YWIA1,housedoctors7305,4042471381,69,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011a00000cEJHzAAO,petrocelliservices,561186499,90,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P000019dxStQAI,elitelock,4098936725,83,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000bN7RjIAK,bumblebeeblinds_169,4073517544,75,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00001Oh5e1IAB,housedoctors3160,4564433395,74,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000g6pceIAA,rubbishworks1505,4191951087,74,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
